Catalog_Number,Date,TD_Greatest_Eclipse,Delta_T,Saros,Type,Type_Full,Gamma,Penumbral_Magnitude,Umbral_Magnitude,Penumbral_Duration_Min,Partial_Duration_Min,Total_Duration_Min,Zenith_Latitude,Zenith_Longitude,P1_UTC_ms,U1_UTC_ms,U2_UTC_ms,Max_UTC_ms,U3_UTC_ms,U4_UTC_ms,P4_UTC_ms
09218,1819-04-10,13:07:53,12,119,T,T+,0.0502,2.7745,1.7574,345.4,222.7,101.8,-8,163,-4756542301000,-4756538620000,-4756534993000,-4756531939000,-4756528885000,-4756525258000,-4756521577000
09219,1819-10-03,15:13:28,12,124,T,T-,-0.151,2.5747,1.5868,330.4,214.5,95.3,4,129,-4741327916000,-4741324439000,-4741320863000,-4741318004000,-4741315145000,-4741311569000,-4741308092000
09220,1820-03-29,18:42:43,12,129,P,P,-0.7112,1.5895,0.5171,330,162.4,0,-4,80,-4725936149000,-4725931121000,,-4725926249000,,-4725921377000,-4725916349000
09221,1820-09-22,06:35:09,11,134,P,P,0.5612,1.8049,0.8511,296.7,176.8,0,0,-101,-4710686003000,-4710682406000,,-4710677102000,,-4710671798000,-4710668201000
09222,1821-02-17,01:05:17,11,101,N,N,1.547,0.0626,-1.023,76.8,0,0,13,-12,-4697911998000,,,-4697909694000,,,-4697907390000
09223,1821-03-18,18:44:59,11,139,N,N,-1.4293,0.281,-0.8095,161.8,0,0,0,80,-4695345366000,,,-4695340512000,,,-4695335658000
09224,1821-08-13,14:26:43,11,106,N,N,-1.3066,0.4497,-0.5292,179.2,0,0,-16,145,-4682574184000,,,-4682568808000,,,-4682563432000
09225,1821-09-11,23:04:56,11,144,N,N,1.2766,0.4971,-0.4666,182.9,0,0,-3,12,-4680037602000,,,-4680032115000,,,-4680026628000
09226,1822-02-06,05:43:26,11,111,P,P,0.7961,1.4151,0.3797,299.9,135.6,0,16,-82,-4667316402000,-4667311473000,,-4667307405000,,-4667303337000,-4667298408000
09227,1822-08-03,00:30:07,11,116,P,P,-0.5938,1.7845,0.7526,329.8,184.2,0,-18,-6,-4651956898000,-4651952530000,,-4651947004000,,-4651941478000,-4651937110000
09228,1823-01-26,17:24:54,11,121,T,T+,0.0729,2.7169,1.7314,325.7,212.8,97.8,19,102,-4636689488000,-4636686101000,-4636682651000,-4636679717000,-4636676783000,-4636673333000,-4636669946000
09229,1823-07-23,03:32:23,10,126,T,T+,0.1699,2.5805,1.5124,371.6,232.3,98.6,-20,-52,-4621361615000,-4621357436000,-4621353425000,-4621350467000,-4621347509000,-4621343498000,-4621339319000
09230,1824-01-16,08:54:09,10,131,P,P,-0.5937,1.7538,0.7829,295.3,171.2,0,21,-131,-4606047220000,-4606043497000,,-4606038361000,,-4606033225000,-4606029502000
09231,1824-07-11,04:14:59,10,136,P,P,0.9245,1.1908,0.133,298.7,87.6,0,-21,-63,-4590771272000,-4590764939000,,-4590762311000,,-4590759683000,-4590753350000
09232,1824-12-06,10:32:41,10,103,N,N,1.498,0.1241,-0.9053,100.3,0,0,24,-160,-4577955458000,,,-4577952449000,,,-4577949440000
09233,1825-01-04,23:31:53,10,141,N,N,-1.289,0.4937,-0.5081,186.8,0,0,21,8,-4575405701000,,,-4575400097000,,,-4575394493000
09234,1825-06-01,00:06:18,10,108,P,P,-1.0089,0.9983,0.0149,254.4,27.6,0,-23,-2,-4562704864000,-4562698060000,,-4562697232000,,-4562696404000,-4562689600000
09235,1825-11-25,16:09:25,9,113,P,P,0.8643,1.3137,0.2311,309.4,113,0,22,114,-4547355926000,-4547350034000,,-4547346644000,,-4547343254000,-4547337362000
09236,1826-05-21,15:15:25,9,118,T,T-,-0.2384,2.3941,1.4464,315,206.3,86.5,-20,130,-4532066534000,-4532063273000,-4532059679000,-4532057084000,-4532054489000,-4532050895000,-4532047634000
09237,1826-11-14,15:56:14,9,123,T,T+,0.184,2.5707,1.4709,375.9,231.2,95.6,18,117,-4516773112000,-4516768771000,-4516764703000,-4516761835000,-4516758967000,-4516754899000,-4516750558000
09238,1827-05-11,08:16:57,9,128,P,P,0.491,1.9336,0.9801,304,186.8,0,-17,-125,-4501419312000,-4501415796000,,-4501410192000,,-4501404588000,-4501401072000
09239,1827-11-03,16:51:55,8,133,P,P,-0.5151,1.9457,0.8805,343.3,196.3,0,15,103,-4486183192000,-4486178782000,,-4486172893000,,-4486167004000,-4486162594000
